doi,title,year,journal,decision_Claude,exclusion_label,justification
10.1016/j.ecolecon.2024.108420,MARINE ECOSYSTEM SERVICES OF SEAGRASS IN PHYSICAL AND MONETARY TERMS: THE MEDITERRANEAN SEA CASE STUDY,2025,ECOLOGICAL ECONOMICS,Include,,Modèle marin + gestion explicite
10.1002/aqc.3153,FINE-SCALE HABITAT PARTITIONING OF CHILEAN AND PEALE'S DOLPHINS AND THEIR OVERLAP WITH AQUACULTURE,2019,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.1371/journal.pbio.1001841,EMERGENT GLOBAL PATTERNS OF ECOSYSTEM STRUCTURE AND FUNCTION FROM A MECHANISTIC GENERAL ECOSYSTEM MODEL,2014,PLOS BIOLOGY,Include,,Modèle marin + gestion explicite
10.1016/j.gecco.2020.e01388,THE IMPACT OF CLIMATE CHANGE ON THE DISTRIBUTION OF CASTANOPSIS (FAGACEAE) SPECIES IN SOUTH CHINA AND INDO-CHINA REGION,2021,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin + gestion explicite
10.1038/s41598-025-30512-5,RANGE-WIDE ASSESSMENT OF HABITAT SUITABILITY FOR JAGUARS USING MULTISCALE SPECIES DISTRIBUTION MODELLING,2025,SCIENTIFIC REPORTS,Include,,Modèle marin + gestion explicite
10.1016/j.envsoft.2021.105259,SOCIAL VALUES FOR ECOSYSTEM SERVICES (SOLVES): OPEN-SOURCE SPATIAL MODELING OF CULTURAL SERVICES,2022,ENVIRONMENTAL MODELLING & SOFTWARE,Include,,Modèle marin + gestion explicite
10.1002/ece3.11515,POTENTIAL DISTRIBUTION PATTERNS AND SPECIES RICHNESS OF AVIFAUNA IN RAPIDLY URBANIZING EAST CHINA,2024,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2020.105456,FISHERY SPATIAL PLANS AND EFFORT DISPLACEMENT IN THE EASTERN IONIAN SEA: A BIOECONOMIC MODELLING,2021,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1007/s12080-017-0364-x,OCEAN ZONING WITHIN A SPARING VERSUS SHARING FRAMEWORK,2018,THEORETICAL ECOLOGY,Include,,Modèle marin + gestion explicite
10.1111/faf.12081,USING SCENARIOS TO PROJECT THE CHANGING PROFITABILITY OF FISHERIES UNDER CLIMATE CHANGE,2015,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.3856/vol50-issue3-fulltext-2803,USING TROPHIC MODELING: EVALUATING FISHERIES DISCARD EFFECT ON THE RIO DE LA PLATA ESTUARY AND COASTAL SHELF,2022,LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH,Include,,Modèle marin + gestion explicite
10.1038/s41598-017-08386-z,SPECIES DISTRIBUTION MODELS OF TWO CRITICALLY ENDANGERED DEEP-SEA OCTOCORALS REVEAL FISHING IMPACTS ON VULNERABLE MARINE ECOSYSTEMS IN CENTRAL MEDITERRANEAN SEA,2017,SCIENTIFIC REPORTS,Include,,Modèle marin + gestion explicite
10.7554/eLife.93694,"BOOSTING BIODIVERSITY MONITORING USING SMARTPHONE-DRIVEN, RAPIDLY ACCUMULATING COMMUNITY-SOURCED DATA",2024,ELIFE,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1093/icesjms/fsab053,"ASSESSING THE STATE OF THE BARENTS SEA USING INDICATORS: HOW, WHEN, AND WHERE?",2021,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1371/journal.pbio.1001826,CLOSE THE HIGH SEAS TO FISHING?,2014,PLOS BIOLOGY,Include,,Modèle marin + gestion explicite
10.4194/1303-2712-v14_4_08,BIOECONOMIC ANALYSIS OF SMALL PELAGIC FISHERY IN CENTRAL ALGERIA,2014,TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.3389/fmars.2019.00648,ECOSYSTEM MODELS AND EFFORT SIMULATIONS OF AN UNTRAWLED GULF IN THE CENTRAL AEGEAN SEA,2019,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.5194/gmd-5-471-2012,ADDRESSING THE IMPACT OF ENVIRONMENTAL UNCERTAINTY IN PLANKTON MODEL CALIBRATION WITH A DEDICATED SOFTWARE SYSTEM: THE MARINE MODEL OPTIMIZATION TESTBED (MARMOT 1.1 ALPHA),2012,GEOSCIENTIFIC MODEL DEVELOPMENT,Exclude,Physical/environmental model (no ecology),Modèle physique sans écologie
10.1139/cjfas-2021-0327,EVIDENCE FOR SPATIOTEMPORAL SHIFT IN DEMERSAL FISHERY MANAGEMENT PRIORITY AREAS IN THE WESTERN MEDITERRANEAN,2022,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.3390/su151612291,HARVESTED PREDATOR-PREY MODELS CONSIDERING MARINE RESERVE AREAS: SYSTEMATIC LITERATURE REVIEW,2023,SUSTAINABILITY,Review/synthesis,,Revue de littérature
10.1016/j.jmarsys.2019.103238,"COMPARING MARINE ECOSYSTEMS OF LAIZHOU AND HAIZHOU BAYS, CHINA, USING ECOLOGICAL INDICATORS ESTIMATED FROM FOOD WEB MODELS",2020,JOURNAL OF MARINE SYSTEMS,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsq002,COMBINING SENSITIVITY AND UNCERTAINTY ANALYSIS TO EVALUATE THE IMPACT OF MANAGEMENT MEASURES WITH ISIS-FISH: MARINE PROTECTED AREAS FOR THE BAY OF BISCAY ANCHOVY (ENGRAULIS ENCRASICOLUS) FISHERY,2010,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1007/s10113-021-01777-z,"FOOD WEB MODELING INDICATES THE POTENTIAL IMPACTS OF INCREASING DEFORESTATION AND FISHING PRESSURE IN THE TAPAJOS RIVER, BRAZILIAN AMAZON",2021,REGIONAL ENVIRONMENTAL CHANGE,Include,,Modèle marin + gestion explicite
10.1016/j.marpol.2016.02.003,DESIGNING AND FINANCING OPTIMAL ENFORCEMENT FOR SMALL-SCALE FISHERIES AND DIVE TOURISM INDUSTRIES,2016,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1002/pan3.10444,RECREATIONAL LAND USE CONTRIBUTES TO THE LOSS OF MARINE BIODIVERSITY,2024,PEOPLE AND NATURE,Include,,Modèle marin + gestion explicite
10.1051/limn/2011026,THE IMPORTANCE OF LAND USE/LAND COVER DATA IN FISH AND MUSSEL CONSERVATION PLANNING,2011,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.gecco.2019.e00862,SHARK CONSERVATION HINDERED BY LACK OF HABITAT PROTECTION,2020,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin + gestion explicite
10.1111/nyas.12484,FINE- AND COARSE-FILTER CONSERVATION STRATEGIES IN A TIME OF CLIMATE CHANGE,2014,YEAR IN ECOLOGY AND CONSERVATION BIOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1111/nrm.70013,MATHEMATICAL BIO-ECONOMICS 2.0 FOR SUSTAINABLE FISHERIES,2025,NATURAL RESOURCE MODELING,Include,,Modèle marin + gestion explicite
10.1002/aqc.2553,IDENTIFYING KEY HABITATS FOR THE CONSERVATION OF CHILEAN DOLPHINS IN THE FJORDS OF SOUTHERN CHILE,2016,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.3389/fmars.2017.00421,A SYSTEMATIC REVIEW OF MARINE-BASED SPECIES DISTRIBUTION MODELS (SDMS) WITH RECOMMENDATIONS FOR BEST PRACTICE,2017,FRONTIERS IN MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1111/csp2.13,CONVERGENCE OF FISHERS' KNOWLEDGE WITH A SPECIES DISTRIBUTION MODEL IN A PERUVIAN SHARK FISHERY,2019,CONSERVATION SCIENCE AND PRACTICE,Include,,Modèle marin + gestion explicite
10.3354/meps10252,PREDICTIVE MODELING OF CORAL DISTRIBUTION AND ABUNDANCE IN THE HAWAIIAN ISLANDS,2013,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1088/1748-9326/ad5f45,SHIFTING CLIMATE AND THE ASSOCIATED IMPACTS ON REGIONAL BIODIVERSITY: A PRESENT AND FUTURE OUTLOOK FROM THE INDIAN SUBCONTINENT,2024,ENVIRONMENTAL RESEARCH LETTERS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.ecolecon.2013.04.001,AN OPTIMIZATION FRAMEWORK FOR ADDRESSING AQUATIC INVASIVE SPECIES,2013,ECOLOGICAL ECONOMICS,Include,,Modèle marin + gestion explicite
10.1016/j.pocean.2015.09.010,"WASP WAIST OR BEER BELLY? MODELING FOOD WEB STRUCTURE AND ENERGETIC CONTROL IN ALASKAN MARINE ECOSYSTEMS, WITH IMPLICATIONS FOR FISHING AND ENVIRONMENTAL FORCING",2015,PROGRESS IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1002/ece3.10901,A SPECIES DISTRIBUTION MODEL OF THE GIANT KELP MACROCYSTIS PYRIFERA: WORLDWIDE CHANGES AND A FOCUS ON THE SOUTHEAST PACIFIC,2024,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1111/fme.12148,EFFICIENT SPATIAL MODELS FOR PREDICTING THE OCCURRENCE OF SUBARCTIC ESTUARINE-ASSOCIATED FISHES: IMPLICATIONS FOR MANAGEMENT,2015,FISHERIES MANAGEMENT AND ECOLOGY,Include,,Modèle marin + gestion explicite
10.3389/fmars.2020.496688,"MODELING THE DISTRIBUTION OF HABITAT-FORMING, DEEP-SEA SPONGES IN THE BARENTS SEA: THE VALUE OF DATA",2021,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.ecss.2022.108040,EFFECT OF FISHING EFFORT ON THE TROPHIC FUNCTIONING OF TROPICAL ESTUARIES IN BRAZIL,2022,ESTUARINE COASTAL AND SHELF SCIENCE,Include,,Modèle marin + gestion explicite
10.5194/gmd-10-127-2017,CALIBRATING A GLOBAL THREE-DIMENSIONAL BIOGEOCHEMICAL OCEAN MODEL (MOPS-1.0),2017,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin — inclus par règle du doute
10.1002/aqc.3720,MODELLING AND PREDICTING FRESHWATER MUSSEL DISTRIBUTIONS IN THE MIDWESTERN USA,2021,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.jmarsys.2012.05.003,FISHING MANAGEMENT SCENARIOS TO REBUILD EXPLOITED RESOURCES AND ECOSYSTEMS OF THE NORTHERN-CENTRAL ADRIATIC (MEDITERRANEAN SEA),2012,JOURNAL OF MARINE SYSTEMS,Include,,Modèle marin + gestion explicite
10.1111/ddi.12447,USING VERIFIED SPECIES DISTRIBUTION MODELS TO INFORM THE CONSERVATION OF A RARE MARINE SPECIES,2016,DIVERSITY AND DISTRIBUTIONS,Include,,Modèle marin + gestion explicite
10.1007/s42995-023-00188-9,INCORPORATING MESOPELAGIC FISH INTO THE EVALUATION OF MARINE PROTECTED AREAS UNDER CLIMATE CHANGE SCENARIOS,2024,MARINE LIFE SCIENCE & TECHNOLOGY,Include,,Modèle marin + gestion explicite
10.1016/j.marpol.2022.105408,ASSESSING THE WELFARE IMPACTS OF CHANGES IN RECREATIONAL FISHERIES MANAGEMENT: A MODELLING APPROACH FOR EUROPEAN SEA BASS,2023,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.3354/meps13870,SUSTAINABLE FISHING CAN LEAD TO IMPROVEMENTS IN MARINE ECOSYSTEM STATUS: AN ENSEMBLE-MODEL FORECAST OF THE NORTH SEA ECOSYSTEM,2021,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2013.12.006,LOBSTERS AS KEYSTONE: ONLY IN UNFISHED ECOSYSTEMS?,2014,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1073/pnas.2307214121,COMBINING ENVIRONMENTAL DNA AND VISUAL SURVEYS CAN INFORM CONSERVATION PLANNING FOR CORAL REEFS,2024,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,Include,,Modèle marin + gestion explicite
10.3389/fmars.2017.00167,"PLASTIC DEBRIS OCCURRENCE, CONVERGENCE AREAS AND FIN WHALES FEEDING GROUND IN THE MEDITERRANEAN MARINE PROTECTED AREA PELAGOS SANCTUARY: A MODELING APPROACH",2017,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsaa148,MODELLING THE SPATIAL-TEMPORAL DISTRIBUTIONS AND ASSOCIATED DETERMINING FACTORS OF A KEYSTONE PELAGIC FISH,2020,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1002/ecs2.2879,ESTIMATING THE ECONOMIC BENEFITS AND COSTS OF HIGHLY-PROTECTED MARINE PROTECTED AREAS,2019,ECOSPHERE,Review/synthesis,,Revue de littérature
10.1007/s10584-014-1071-x,WHAT CAN ECOSYSTEM MODELS TELL US ABOUT THE RISK OF EUTROPHICATION IN THE NORTH SEA?,2015,CLIMATIC CHANGE,Include,,Modèle marin + gestion explicite
10.1029/2023JG007943,A NEW COUPLED BIOGEOCHEMICAL MODELING APPROACH PROVIDES ACCURATE PREDICTIONS OF METHANE AND CARBON DIOXIDE FLUXES ACROSS DIVERSE TIDAL WETLANDS,2024,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,Include,,Modèle marin + gestion explicite
10.1111/gcb.14126,"WHICH SPECIES, HOW MANY, AND FROM WHERE: INTEGRATING HABITAT SUITABILITY, POPULATION GENOMICS, AND ABUNDANCE ESTIMATES INTO SPECIES REINTRODUCTION PLANNING",2018,GLOBAL CHANGE BIOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3389/fmars.2021.662285,DISTRIBUTION OF VULNERABLE MARINE ECOSYSTEMS AT THE SOUTH SANDWICH ISLANDS: RESULTS FROM THE BLUE BELT DISCOVERY EXPEDITION 99 DEEP-WATER CAMERA SURVEYS,2021,FRONTIERS IN MARINE SCIENCE,Exclude,Not a model,Pas de modèle formel identifié
10.1111/faf.12039,HOW LONG SHOULD WE IGNORE IMPERFECT DETECTION OF SPECIES IN THE MARINE ENVIRONMENT WHEN MODELLING THEIR DISTRIBUTION?,2014,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsaa215,"PREDICTED SHIFTS OF GROUNDFISH DISTRIBUTION IN THE EASTERN BERING SEA UNDER CLIMATE CHANGE, WITH IMPLICATIONS FOR FISH POPULATIONS AND FISHERIES MANAGEMENT",2021,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fss049,AN ECOSYSTEM APPROACH FOR THE ASSESSMENT OF FISHERIES IMPACTS ON MARINE TOP PREDATORS: THE BAY OF BISCAY CASE STUDY,2012,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.biocon.2024.110668,POTENTIAL IMPACTS OF CLIMATE CHANGE ON TERRESTRIAL AOTEAROA NEW ZEALAND'S BIRDS REVEAL HIGH RISK FOR ENDEMIC SPECIES,2024,BIOLOGICAL CONSERVATION,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.rsma.2020.101161,COMPARATIVE PERFORMANCE OF MODELLING APPROACHES FOR PREDICTING FISH SPECIES RICHNESS IN THE YANGTZE RIVER ESTUARY,2020,REGIONAL STUDIES IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.gecco.2025.e03796,SPATIO-TEMPORAL MONITORING AND MODELING APPROACH FOR THE SUSTAINABLE MANAGEMENT OF PARACENTROTUS LIVIDUS POPULATIONS IN THE MEDITERRANEAN SEA,2025,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin + gestion explicite
10.3389/fevo.2023.1216769,CLIMATE AND LAND-USE CHANGES THREATEN THE EFFECTIVENESS OF PROTECTED AREAS FOR PROTECTING GALLIFORMES IN SOUTHEAST ASIA,2023,FRONTIERS IN ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1139/cjfas-2013-0650,OPTIMAL MANAGEMENT OF RECREATIONAL FISHERIES IN THE PRESENCE OF HOOKING MORTALITY AND NONCOMPLIANCE - PREDICTIONS FROM A BIOECONOMIC MODEL INCORPORATING A MECHANISTIC MODEL OF ANGLER BEHAVIOR,2015,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0196307,HERRING SUPPORTS NORTHEAST PACIFIC PREDATORS AND FISHERIES: INSIGHTS FROM ECOSYSTEM MODELLING AND MANAGEMENT STRATEGY EVALUATION,2018,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1111/ddi.13645,LARGE CARNIVORE RANGE EXPANSION IN IBERIA IN RELATION TO DIFFERENT SCENARIOS OF PERMEABILITY OF HUMAN-DOMINATED LANDSCAPES,2023,DIVERSITY AND DISTRIBUTIONS,Include,,Modèle marin + gestion explicite
10.1016/j.gecco.2024.e03212,"GLOBAL INVASION RISK ASSESSMENT OF LANTANA CAMARA, A HIGHLY INVASIVE WEED, UNDER FUTURE ENVIRONMENTAL CHANGE",2024,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin + gestion explicite
10.3389/fmars.2019.00310,EFFECTS OF MANAGEMENT ON THE PROFITABILITY OF SEASONAL FISHERIES,2019,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/ddi.13705,FINE-SCALE SPATIAL AND TEMPORAL DISTRIBUTION PATTERNS OF LARGE MARINE PREDATORS IN A BIODIVERSITY HOTSPOT,2023,DIVERSITY AND DISTRIBUTIONS,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2021.106190,EFFECTS OF RE-SPECIFYING THE NORTHERN PRAWN FISHERY BIOECONOMIC MODEL TO INCLUDE BANANA PRAWNS,2022,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1016/j.eap.2022.07.009,NEGATIVE SHOCKS IN AN AGE-STRUCTURED BIOECONOMIC MODEL AND HOW TO DEAL WITH THEM,2022,ECONOMIC ANALYSIS AND POLICY,Include,,Modèle marin + gestion explicite
10.1111/ddi.12167,POTENTIAL IMPACTS OF OIL AND GAS DEVELOPMENT AND CLIMATE CHANGE ON MIGRATORY REINDEER CALVING GROUNDS ACROSS THE RUSSIAN ARCTIC,2014,DIVERSITY AND DISTRIBUTIONS,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsy069,ECOLOGICAL AND ECONOMIC EFFECTS OF THE LANDING OBLIGATION EVALUATED USING A QUANTITATIVE ECOSYSTEM APPROACH: A MEDITERRANEAN CASE STUDY,2018,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.3989/scimar.04937.29B,FISHING EFFORT ALTERNATIVES FOR THE MANAGEMENT OF DEMERSAL FISHERIES IN THE WESTERN MEDITERRANEAN,2019,SCIENTIA MARINA,Include,,Modèle marin + gestion explicite
10.3389/fmars.2020.00107,ACHIEVING RELIABLE ESTIMATES OF THE SPATIAL DISTRIBUTION OF KELP BIOMASS,2020,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.jmarsys.2015.10.014,ESTIMATING NATURAL MORTALITY RATES AND SIMULATING FISHING SCENARIOS FOR GULF OF MEXICO RED GROUPER (EPINEPHELUS MORIO) USING THE ECOSYSTEM MODEL OSMOSE-WFS,2016,JOURNAL OF MARINE SYSTEMS,Include,,Modèle marin + gestion explicite
10.1111/j.1467-2979.2011.00430.x,THEORIES AND BEHAVIOURAL DRIVERS UNDERLYING FLEET DYNAMICS MODELS,2012,FISH AND FISHERIES,Review/synthesis,,Revue de littérature
10.1016/j.ecolind.2015.10.059,MODELLING THE SPATIAL DISTRIBUTION OF THE SEAGRASS POSIDONIA OCEANICA ALONG THE NORTH AFRICAN COAST: IMPLICATIONS FOR THE ASSESSMENT OF GOOD ENVIRONMENTAL STATUS,2016,ECOLOGICAL INDICATORS,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2019.05.016,COMPARISON OF TWO CARBON-NITROGEN REGULATORY MODELS CALIBRATED WITH MESOCOSM DATA,2019,ECOLOGICAL MODELLING,Exclude,Physical/environmental model (no ecology),Modèle physique sans écologie
10.1038/s41598-018-26898-0,PRIORITIZING MONITORING AND CONSERVATION EFFORTS FOR FISH SPAWNING AGGREGATIONS IN THE US GULF OF MEXICO,2018,SCIENTIFIC REPORTS,Include,,Modèle marin + gestion explicite
10.1111/gcb.13423,SOLUTIONS FOR ECOSYSTEM-LEVEL PROTECTION OF OCEAN SYSTEMS UNDER CLIMATE CHANGE,2016,GLOBAL CHANGE BIOLOGY,Review/synthesis,,Revue de littérature
10.3390/fishes10110574,THE DIFFERENCES IN THE RESPONSES OF PELAGIC FISH DISTRIBUTION IN THE NORTHERN SOUTH CHINA SEA TO ENVIRONMENTAL FACTORS: A CASE STUDY OF ROUND SCAD AND JACK MACKEREL IN THE HAINAN ISLAND OFFSHORE AREA,2025,FISHES,Include,,Modèle marin + gestion explicite
10.1007/s10530-017-1625-8,PREDICTING IMPACTS OF LIONFISH (PTEROIS VOLITANS) INVASION IN A COASTAL ECOSYSTEM OF SOUTHERN BRAZIL,2018,BIOLOGICAL INVASIONS,Include,,Modèle marin + gestion explicite
10.1111/gcb.15316,AN IRON CYCLE CASCADE GOVERNS THE RESPONSE OF EQUATORIAL PACIFIC ECOSYSTEMS TO CLIMATE CHANGE,2020,GLOBAL CHANGE BIOLOGY,Include,,Modèle marin + gestion explicite
10.1111/2041-210X.13736,INTEGRATED SDM DATABASE: ENHANCING THE RELEVANCE AND UTILITY OF SPECIES DISTRIBUTION MODELS IN CONSERVATION MANAGEMENT,2022,METHODS IN ECOLOGY AND EVOLUTION,Review/synthesis,,Revue de littérature
10.1016/j.biocon.2009.09.005,USING HABITAT MODELS TO IDENTIFY SUITABLE SITES FOR MARINE PROTECTED AREAS FOR HARBOUR PORPOISES (PHOCOENA PHOCOENA),2010,BIOLOGICAL CONSERVATION,Include,,Modèle marin + gestion explicite
10.1007/s10530-022-02802-w,IDENTIFYING KEY PROCESSES AND DRIVERS AFFECTING THE PRESENCE OF NON-INDIGENOUS MARINE SPECIES IN COASTAL WATERS,2022,BIOLOGICAL INVASIONS,Include,,Modèle marin + gestion explicite
10.1016/j.dsr2.2017.03.004,SEASONAL FORECASTING OF DOLPHINFISH DISTRIBUTION IN EASTERN AUSTRALIA TO AID RECREATIONAL FISHERS AND MANAGERS,2017,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.3389/fmars.2020.00641,TIME-DYNAMIC FOOD WEB MODELING TO EXPLORE ENVIRONMENTAL DRIVERS OF ECOSYSTEM CHANGE ON THE KERGUELEN PLATEAU,2020,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/brv.70091,FACILITATIVE INTERSPECIFIC INTERACTIONS IN MARINE VERTEBRATES ACROSS SCALES: FROM INDIVIDUALS TO ECOSYSTEMS,2025,BIOLOGICAL REVIEWS,Review/synthesis,,Revue de littérature
10.3389/fmars.2020.00450,UNDERSTANDING ENVIRONMENTAL CHANGES IN TEMPERATE COASTAL SEAS: LINKING MODELS OF BENTHIC FAUNA TO CARBON AND NUTRIENT FLUXES,2020,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.ecss.2025.109285,ECOLOGICAL NETWORK ANALYSIS AND ECOLOGICAL INDICATORS FOR AN INTENSIVELY USED TEMPERATE MARINE EMBAYMENT,2025,ESTUARINE COASTAL AND SHELF SCIENCE,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsx056,SPATIAL AND TEMPORAL DYNAMICS OF PREDATOR-PREY SPECIES INTERACTIONS OFF WESTERN CANADA,2017,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1002/ece3.71438,SPATIAL MODELLING OF AERIAL SURVEY DATA REVEALS AN IMPORTANT EUROPEAN STORM-PETREL HOTSPOT AND ITS UNDERLYING DRIVERS WITHIN THE NORTH-EAST ATLANTIC,2025,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.5194/gmd-15-1953-2022,GEOMETRIC REMAPPING OF PARTICLE DISTRIBUTIONS IN THE DISCRETE ELEMENT MODEL FOR SEA ICE (DEMSI V0.0),2022,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin + gestion explicite
10.1126/science.aay5342,CASCADING SOCIAL-ECOLOGICAL COSTS AND BENEFITS TRIGGERED BY A RECOVERING KEYSTONE PREDATOR,2020,SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2018.12.017,HABITAT PROTECTION ACTIONS FOR COASTAL DELPHINIDS IN A DISTURBED ENVIRONMENT WITH EXPLICIT INFORMATION GAPS,2019,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1007/s00343-020-0020-y,IMPACTS OF PARAMETER UNCERTAINTIES ON DEEP CHLOROPHYLL MAXIMUM SIMULATION REVEALED BY THE CNOP-P APPROACH,2020,JOURNAL OF OCEANOLOGY AND LIMNOLOGY,Include,,Modèle marin — inclus par règle du doute
10.3389/fmars.2017.00288,ON THE USE OF MAPS AND MODELS IN CONSERVATION AND RESOURCE MANAGEMENT (WARNING: RESULTS MAY VARY),2017,FRONTIERS IN MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1016/j.biocon.2018.06.031,BASIN-SCALE DISTRIBUTION OF HARBOUR PORPOISES IN THE BALTIC SEA PROVIDES BASIS FOR EFFECTIVE CONSERVATION ACTIONS,2018,BIOLOGICAL CONSERVATION,Include,,Modèle marin + gestion explicite
10.1016/j.aquaculture.2014.08.030,AN INTEGRATED ECOLOGICAL-ECONOMIC MODELING FRAMEWORK FOR THE SUSTAINABLE MANAGEMENT OF OYSTER FARMING,2015,AQUACULTURE,Include,,Modèle marin + gestion explicite
10.1038/s41598-022-15990-1,EFFECTIVENESS OF MANAGEMENT ZONES FOR RECOVERING PARROTFISH SPECIES WITHIN THE LARGEST COASTAL MARINE PROTECTED AREA IN BRAZIL,2022,SCIENTIFIC REPORTS,Include,,Modèle marin + gestion explicite
10.1111/1365-2656.13006,"MOTION IN THE OCEAN-PARADIGM SHIFT IN MOVEMENT ECOLOGY REQUIRES ""SEDENTARY"" ORGANISMS TO BE REDEFINED",2019,JOURNAL OF ANIMAL ECOLOGY,Exclude,Not a model,Pas de modèle formel identifié
10.1139/cjfas-2013-0046,"HOW DOES SPECIES ASSOCIATION AFFECT MIXED STOCK FISHERIES MANAGEMENT? A COMPARATIVE ANALYSIS OF THE EFFECT OF MARINE PROTECTED AREAS, DISCARD BANS, AND INDIVIDUAL FISHING QUOTAS",2013,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1590/1982-0224-2021-0034,THE EFFECTIVENESS OF PROTECTED AREAS IN THE PARANA-PARAGUAY BASIN IN PRESERVING MULTIPLE FACETS OF FRESHWATER FISH DIVERSITY UNDER CLIMATE CHANGE,2021,NEOTROPICAL ICHTHYOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
