ID_article,Rank,Authors,Year,Title,Journal,DOI,Citations,Model_Name,Model_Type,Spatial_Scope,Temporal_Scope,Country,Ocean_Basin,FAO_Zone,Taxa,Drivers,Application,Key_Finding,Innovation,Limitations,Score,Score_Justification,Flag,Notes
ART_0209,73,Unknown,2015,Introduction,Unknown,NA,106,GCM (flagged),Uncertain,Unknown,Unknown,NA,NA,NA,Unknown,NA,Unknown,Cannot extract - insufficient information,Cannot determine - title 'Introduction' suggests book chapter or special issue introduction,Title too generic to identify article,0,NA,NA,FLAGGED: Title 'Introduction' is ambiguous - likely database error or book chapter. Needs manual verification.
ART_0727,74,Schill,2015,No Reef Is an Island: Integrating Coral Reef Connectivity Data into the Design of Regional-Scale Marine Protected Area Networks,PLOS ONE,NA,103,Marxan with larval connectivity,Spatial Conservation Prioritization,Caribbean Basin and Gulf of Mexico (10 marine ecoregions),2008-2011 (8 spawning events simulated),NA,NA,NA,Coral reefs (larval dispersal connectivity),NA,Caribbean-wide MPA network design; transboundary reef conservation; reef resilience planning; Haiti-DR-Cuba corridor,"77% of high-connectivity reefs not in existing MPA network. Mesoamerican Reef, Bahamas, and Cuba are key connectivity corridors. Eastern Caribbean small island reefs vulnerable to isolation. Network graph metrics (betweenness, closeness centrality) identify keystone reefs.",First Caribbean-wide integration of larval connectivity into Marxan MPA design. Quantifies connectivity by EEZ for transboundary planning. Uses asymmetric boundary files based on larval flow rather than Euclidean distance. 4-year multi-spawn synthesis.,Coral focus only; 30-day PLD assumption; no genetic validation,5,NA,NA,Landmark paper for regional marine connectivity-based conservation planning
ART_0246,75,Zorrilla,2010,"Evaluation of Bayesian Networks in Participatory Water Resources Management, Upper Guadiana Basin, Spain",Ecology and Society,NA,101,Bayesian Network (participatory DSS),Decision Support System,"Upper Guadiana Basin, Spain (freshwater/groundwater)",Participatory process evaluation,NA,NA,NA,Wetland ecosystems (affected by groundwater extraction),NA,EU Water Framework Directive implementation; groundwater management; stakeholder conflict resolution,"BN effective for structuring stakeholder discussions. Visual appeal aids communication across groups. Participatory process enhanced understanding of trade-offs. Farmers, authorities, and environmentalists achieved shared understanding.",Develops and tests evaluation criteria for participatory BN modeling. Documents stakeholder engagement process for water conflicts. Provides framework for assessing participatory modeling quality.,Freshwater/terrestrial focus; single case study; qualitative evaluation,3,NA,NA,Freshwater focus but participatory approach valuable for marine stakeholder engagement
ART_0321,76,Plecha,2020,Global marine heatwave events using the new CMIP6 multi-model ensemble: from shortcomings in present climate to future projections,Environmental Research Letters,NA,101,CMIP6 Multi-Model Ensemble,Climate Projection,Global ocean,"Historical (1971-2014); Future (2041-2100) under SSP1-2.6, SSP2-4.5, SSP5-8.5",NA,NA,NA,Marine heatwave events (ecological impacts implied),NA,Climate adaptation planning; marine ecosystem risk assessment; fisheries management under climate change,"MME underestimates observed frequency by 21% and intensity by 31%, overestimates duration by 100%. Future MHWs approach near-permanent state by end-century under high emissions. Intensity increases 0.2-1.5°C depending on pathway. CMIP6 biases similar to CMIP5 - high-resolution models still needed.",First comprehensive CMIP6 MHW assessment. Validates 12 GCMs against NOAA OISST observations. Provides future projections under three emission scenarios. Identifies persistent GCM biases in MHW properties.,Coarse resolution; known GCM biases; no ecosystem coupling,5,NA,NA,Essential baseline for marine ecosystem climate impact assessment
ART_0829,NA,Unknown,2013,Capital Account Policies and the Real Exchange Rate,Unknown - FLAGGED,NA,100,InVEST,NA,Unknown,N/A,NA,NA,NA,N/A,N/A,N/A,NA,"FLAGGED: Title does not match inferred model (InVEST). Appears to be economics paper, not ecosystem services.",DATABASE ERROR - Title does not match expected model type,0,NA,NA,"This appears to be a database error or false positive. The title suggests an economics/policy paper about capital accounts and exchange rates, not an InVEST ecosystem services study. Requires manual verification."
ART_0112,NA,"Georgian SE, Anderson OF, Rowden AA",2019,Ensemble habitat suitability modeling of vulnerable marine ecosystem indicator taxa to inform deep-sea fisheries management in the South Pacific Ocean,Fisheries Research,NA,100,MaxEnt;Random Forest;BRT,NA,"New Zealand EEZ & SPRFMO Convention Area (South Pacific ~24°S-58°S, 143°E-146°W)",Contemporary (model outputs for SPRFMO management),NA,NA,NA,"10 VME indicator taxa (cold-water corals, sponges)","Depth, slope, temperature, aragonite/calcite saturation, substrate, oxygen, currents","SPRFMO bottom trawl fisheries management; VME protection; spatial closure design; multi-country stakeholder planning (NZ, Australia)",NA,"First ensemble SDM combining BRT, MaxEnt, RF with weighted averaging for VME taxa; all models achieved AUC >0.9; ensemble marginally outperformed individual models",Presence-only data; 1km resolution may miss fine-scale features; bias in sampling toward commercially fished areas,5,NA,NA,Excellent example of ensemble SDM for deep-sea conservation. Directly supports UNGA resolutions on VME protection. Model outputs used in active spatial planning.
ART_0719,NA,"Esselman PC, Allan JD",2011,Application of species distribution models and conservation planning software to the design of a reserve network for the riverine fishes of northeastern Mesoamerica,Freshwater Biology,NA,100,Marxan;SDM,NA,"Northeastern Mesoamerica (Belize, Guatemala, Mexico - rivers)",Contemporary,NA,NA,NA,63 freshwater fish species,Landscape-based threats propagated downstream via GIS,Freshwater reserve network design; 15% species range targets; gap analysis of existing protected areas,NA,"Novel Marxan adaptation for river systems accounting for longitudinal connectivity, basin divides, and upstream threat propagation; critical management zones (riparian buffers, migration corridors)",Freshwater not marine; SDM bias from sampling distribution,3,NA,NA,Landmark paper for freshwater Marxan applications. Methods for connectivity and threat propagation highly relevant to marine spatial planning. Network covered 11% of study area.
ART_0664,NA,"Linke S, Kennard MJ, Hermoso V, Olden JD, Stein J, Pusey BJ",2012,Merging connectivity rules and large‐scale condition assessment improves conservation adequacy in river systems,Journal of Applied Ecology,NA,100,Marxan,NA,Australian river systems (freshwater),Contemporary,NA,NA,NA,Freshwater biodiversity,"River condition, upstream impacts, connectivity requirements",Conservation adequacy in freshwater; accounts for natural decay of upstream influences with distance; whole sub-basin vs corridor prioritization,NA,Novel 'virtual boundaries' and distance-weighted penalties for upstream connectivity; connectivity strength modifier (CSM) calibration; merges connectivity rules with condition assessment,Freshwater focus; requires detailed stream network data,3,NA,NA,Important methodological advance for connectivity in systematic conservation planning. The virtual boundaries and distance-weighted penalties could be adapted for larval connectivity in marine systems.
ART_0740,NA,"Plumptre AJ, Fuller RM, Rwetsiba A, Wanyama F, Kujirakwinja D, Driciru M, Nangendo G, Watson J, Possingham HP",2014,Efficiently targeting resources to deter illegal activities in protected areas,Journal of Applied Ecology,NA,100,Marxan,NA,"Greater Virunga Landscape (DRC, Uganda, Rwanda - Africa)",Contemporary + patrol scenarios,NA,NA,NA,"Large mammals (mountain gorillas, elephants), landscape species","Threat distribution (poaching), patrol costs, species distributions",Ranger patrol optimization; anti-poaching; 63% cost reduction while meeting conservation targets; patrol costs $2.2-3.5M vs $6.5M for full coverage,NA,Novel Marxan application for law enforcement allocation; threat mapping combined with conservation targets; cost-efficiency analysis of patrol posts vs mobile patrols,Terrestrial context; assumes static threat distribution,3,NA,NA,Innovative extension of Marxan beyond reserve design to operational management. The patrol optimization approach is directly applicable to marine protected areas for enforcement targeting.
ART_0735,NA,"Lessmann J, Fajardo J, Muñoz J, Bonaccorso E",2016,Large expansion of oil industry in the Ecuadorian Amazon: biodiversity vulnerability and conservation alternatives,Ecology and Evolution,NA,100,Marxan;SDM,NA,"Ecuadorian Amazon (~100,000 km²)",Contemporary + oil development scenarios,NA,NA,NA,"745 species (amphibians, birds, butterflies, mammals, plants); 25 ecosystems","Oil block expansion, deforestation, habitat loss",Conservation planning under development pressure; 68% of Amazon in oil blocks; southern Amazon identified as priority; scenarios achieving 38-85% coverage,NA,"Scenario analysis comparing conservation options under oil expansion; oil block importance index combining species diversity, ecosystem diversity, natural vegetation, priority areas",Terrestrial Amazon; SDM bias from museum specimens; static threat assessment,2,NA,NA,"Demonstrates Marxan use for development-conservation tradeoffs. Relevant to marine contexts where oil/gas development threatens biodiversity (e.g., Arctic, deep-sea)."
ART_0489,NA,"Christensen V, Coll M, Buszowski J, Cheung WWL, Frölicher T, Steenbeek J, Stock CA, Watson RA, Walters CJ",2015,The global ocean is an ecosystem: simulating marine life and fisheries,Global Ecology and Biogeography,NA,97,EwE-type (EcoOcean),NA,Global ocean,Hindcast 1950-2010; future projections,NA,NA,NA,Primary producers to top predators; commercial fish stocks; 60 functional groups,"SST, NPP, oxygen, fishing effort by fleet and gear type",Global fisheries management; climate change impact assessment; evaluation of alternative management scenarios on seafood supply,NA,First spatially-explicit global marine food web model; integrates biogeochemical forcing (NPP) with fisheries dynamics; Markov chain stock reduction analysis for calibration,Coarse resolution for local management; functional group aggregation; calibration challenges,5,NA,NA,Landmark paper establishing EcoOcean as global marine ecosystem model. Enables scenario testing of fisheries management and climate change at global scale. Most detailed global fisheries model ever constructed.
ART_0154,NA,"Large SI, Fay G, Friedland KD, Link JS",2013,Defining trends and thresholds in responses of ecological indicators to fishing and environmental pressures,ICES Journal of Marine Science,NA,97,GAM,NA,"Northeast Shelf Large Marine Ecosystem (USA, Cape Hatteras to Nova Scotia)",1964-2010 time series,NA,NA,NA,Fish community indicators,"AMO (Atlantic Multidecadal Oscillation), SST, fishing pressure (landings)",Ecosystem-based fisheries management (EBFM); reference point development; identifying critical pressure values,NA,Empirical determination of numerical thresholds where fishing and environmental pressures significantly alter ecological indicators; non-linear GAM relationships,Correlative relationships; assumes stationarity in ecological processes,4,NA,NA,Important methodological contribution for identifying ecosystem thresholds. Directly supports EBFM implementation by providing quantitative pressure-response relationships.
ART_0335,NA,"Christensen V, de la Puente S, Sueiro JC, Steenbeek J, Majluf P",2014,Valuing seafood: The Peruvian fisheries sector,Marine Policy,NA,97,EwE,NA,Peruvian marine ecosystem (Humboldt Current),2009 baseline,NA,NA,NA,"Anchoveta (Engraulis ringens), all commercial species, 35 enterprise types","Fleet economics, processing pathways, market destinations",Fisheries policy; demonstrates human consumption generates 2x revenue and 3x jobs vs fishmeal production; economic multipliers ~2.9 across industry,NA,Novel ecosystem-economic modeling integrating EwE with comprehensive value chain analysis; first full sector valuation showing anchoveta is only 31% of GDP despite dominating catches,Single year snapshot; assumes market conditions stable,4,NA,NA,Demonstrates that directing fish to human consumption rather than fishmeal/oil creates more economic and social benefit. Challenges dominant fishmeal industry narrative. 35% of jobs in restaurants.
ART_1025,NA,"de Mutsert K, Steenbeek J, Lewis K, Buszowski J, Cowan JH Jr, Christensen V",2016,Exploring effects of hypoxia on fish and fisheries in the northern Gulf of Mexico using a dynamic spatially explicit ecosystem model,Ecological Modelling,NA,96,EwE,NA,Northern Gulf of Mexico (Louisiana shelf),Dynamic simulations with seasonal hypoxia,NA,NA,NA,"60 functional groups; focus on commercial species (red snapper, shrimp, menhaden)","Dissolved oxygen, chlorophyll-a from ROMS-biogeochemical model, fishing effort (gravitational fleet model)",Gulf hypoxia management; fisheries impact assessment; Mississippi River nutrient reduction scenarios,NA,Novel Ecospace plug-in for spatially-temporally dynamic DO and Chl-a forcing from coupled ROMS-biogeochemical model; separates positive (bottom-up fueling) and negative (hypoxia) effects of nutrients,Model parameterization for DO response; functional group aggregation,5,NA,NA,"Demonstrates that nutrient-driven productivity increases outweigh hypoxia decreases at aggregate level, BUT species-specific responses vary (red snapper net loss). Critical for nutrient management policy."
ART_0814,87,FLAGGED,2021,Dynamics of Human Capital Development in Economic Development Cycles,FLAGGED,NA,96,InVEST (incorrect assignment),FLAGGED - Database Error,N/A,N/A,NA,NA,NA,N/A,N/A,N/A,NA,DATABASE ERROR: Economics paper incorrectly assigned InVEST model tag,NOT A MARINE/ECOSYSTEM PAPER - requires manual verification,0,NA,NA,"Title suggests economics/human capital paper, not ecosystem services modeling"
ART_0285,88,Audzijonyte,2019,"Atlantis: A spatially explicit end-to-end marine ecosystem model with dynamically integrated physics, ecology and socio-economic modules",Methods in Ecology and Evolution,NA,95,Atlantis,End-to-End Ecosystem Model (Atlantis),Global framework (25+ implementations worldwide),Medium to long-term strategic projections (decades),NA,NA,NA,Full ecosystem - primary producers to top predators,"Oceanographic (physics), biogeochemical, fisheries, economics, management",Ecosystem-based fisheries management; Management strategy evaluation (MSE); 'What-if' scenarios; Climate change impacts,NA,"LANDMARK: Formal documentation of Atlantis framework; Modular architecture (simplest to most complex); Integrates physics, biology, fisheries, assessment, management, economics; Written in C for all OS; 25+ global applications",Not for tactical short-term advice (quotas); Parameter-intensive; Requires substantial calibration; Model complexity tradeoffs,5,NA,NA,LANDMARK PAPER - Official methods paper for Atlantis; Essential reference for end-to-end ecosystem modeling
ART_0361,89,Holstein,2014,Consistency and inconsistency in multispecies population network dynamics of coral reef ecosystems,Marine Ecology Progress Series,NA,93,Connectivity Modeling System (CMS),Biophysical Larval Dispersal Model (CMS),Caribbean Sea (Bahamas to South America),5 years (2004-2008),NA,NA,NA,"3 reef fish species (yellowtail snapper, stoplight parrotfish, bluehead wrasse) + 2 coral species (Orbicella annularis, Porites astreoides)","Ocean currents, larval traits (PLD, vertical behavior, flexion age)",MPA network design; Multispecies connectivity assessment; Source-sink dynamics; Larval corridor identification,NA,Multi-scale biophysical modeling for multispecies connectivity; Novel 'diversity of exogenous settlement' index for recolonization potential; Species-specific network analysis revealing management needs differ between corals and fish,Does not include post-settlement mortality; Habitat conditions not included; 5-year simulation period,4,NA,NA,Important for MPA network connectivity; CMS model widely applicable
ART_0517,90,Duponchelle,2016,Trans-Amazonian natal homing in giant catfish,Journal of Applied Ecology,NA,93,LA-MC-ICPMS (87Sr/86Sr analysis),Otolith Microchemistry (not spatial model),"Amazon Basin (Bolivia, Brazil, Peru - 6 countries)",Individual lifetime movements,NA,NA,NA,Giant catfish (Brachyplatystoma rousseauxii),Water chemistry (Sr isotope ratios),Fisheries connectivity; Dam impact assessment; International transboundary management; Migration corridor protection,NA,First confirmation of long-distance natal homing in freshwater fish (8000+ km round trip); Otolith 87Sr/86Sr microchemistry to track individual movements; Demonstrates compulsory migratory lifecycle,Not a spatial prediction model; Focused on single species; Indirect spatial inference,2,NA,NA,Methodologically important for connectivity but not spatial modeling per se; Highly relevant for dam impact assessment
ART_0174,91,Renaud,2018,Pelagic food-webs in a changing Arctic: a trait-based perspective suggests a mode of resilience,ICES Journal of Marine Science,NA,92,Trait-based energy transfer model (conceptual),Trait-Based Food Web Model,Pan-Arctic (European Arctic focus),Climate projections (decadal),NA,NA,NA,"Calanus copepod complex (C. glacialis, C. hyperboreus, C. finmarchicus)","Climate change, sea ice loss, primary production regimes, temperature",Arctic fisheries management; Climate change adaptation; Food web resilience assessment,NA,Trait-based perspective on Calanus species shifts; Challenges assumption that smaller boreal species replacing Arctic species will harm predators; Suggests energy transfer efficiency may compensate for body size changes,Conceptual/review rather than quantitative spatial model; Limited empirical validation,3,NA,NA,Important conceptual framework for Arctic; Trait-based approach highly relevant but not spatially explicit
ART_0365,92,Hollowed,2020,Integrated Modeling to Evaluate Climate Change Impacts on Coupled Social-Ecological Systems in Alaska,Frontiers in Marine Science,NA,92,Alaska Climate Integrated Modeling (ACLIM),Integrated Climate-Fisheries Model (ACLIM),Eastern Bering Sea (Alaska),"2006-2100 (current, mid-century, end-of-century)",NA,NA,NA,"Commercial fish and shellfish (walleye pollock, Pacific cod, crab)","Climate scenarios (CMIP5), oceanography (ROMS), biogeochemistry, fishing pressure",NPFMC decision support; Climate-ready fisheries management; Management strategy evaluation; Ecosystem approach to fisheries management,NA,"LANDMARK: Multi-model ensemble approach for climate-fisheries projections; Integrates GCMs, regional ocean models, population dynamics, economics, and MSE; Uncertainty decomposition (scenario, parameter, structural); 5-year iterative cycle matching stock assessment cycle",EBS-specific parameterization; Computationally intensive; Requires substantial data infrastructure,5,NA,NA,LANDMARK PAPER - Best practice for integrated climate-fisheries modeling; Direct management application
ART_0108,93,Amandè,2012,Precision in bycatch estimates: the case of tuna purse-seine fisheries in the Indian Ocean,ICES Journal of Marine Science,NA,91,GLM + Monte Carlo simulation,Generalized Linear Model (GLM),Indian Ocean (tropical),2003-2009,NA,NA,NA,"Bycatch species (sharks, rays, billfish, sea turtles, small tunas)","Fishing mode (FAD vs free school), observer coverage",Observer program design; Bycatch estimation precision; RFMO compliance monitoring,NA,Quantifies relationship between observer coverage and bycatch estimate precision; Shows 4.6% coverage yields >50% RRMSE for all species; GLM explains 85% of variability in estimate precision; Identifies minimum coverage requirements,Focused on precision not accuracy; Does not address observer behavior biases; Species-specific coverage needs vary widely,3,NA,NA,Important for fisheries monitoring design; Statistical methods broadly applicable
ART_0247,94,O'Brien,2018,A regional-scale ecological risk framework for environmental flow evaluations,Hydrology and Earth System Sciences,NA,91,Bayesian Network ecological risk model (Netica),Bayesian Network (BN) Risk Assessment,Senqu River (Lesotho/South Africa) and Mara River (Kenya/Tanzania),Project scenarios (dam development phases),NA,NA,NA,"Fish communities, riparian vegetation, aquatic invertebrates","Flow alterations, dam barriers, water abstraction",Environmental flow assessment; Dam impact evaluation; Ecosystem services risk assessment; Water resource development planning,NA,Regional-scale BN framework integrating ecological endpoints with socio-economic services; Spatially-referenced source-stressor-receptor pathways; Applicable to transboundary water management,Freshwater focus; Requires expert knowledge for BN parameterization; Relative rather than absolute risk,3,NA,NA,Freshwater focus but methods applicable to estuarine/coastal systems; BN approach valuable for integrated risk assessment
ART_0544,95,Sundblad,2011,Ecological coherence of marine protected area networks: a spatial assessment using species distribution models,Journal of Applied Ecology,NA,91,SDM (ensemble/statistical habitat models),Species Distribution Model (SDM),Baltic Sea (Swedish coast),Current distribution assessment,NA,NA,NA,"Coastal fish species (perch, pike) and habitat-forming species","Depth, substrate, wave exposure, temperature","MPA network design; Natura 2000 assessment; Ecological coherence evaluation (adequacy, representativity, replication, connectivity)",NA,SDM-based framework for assessing MPA network ecological coherence; Quantifies four coherence criteria; Identifies gaps in existing Natura 2000 network; Species-specific connectivity requirements,Static assessment (no temporal dynamics); Connectivity assessment limited by dispersal knowledge; Baltic-specific validation,4,NA,NA,Important for MPA network assessment; SDM methods widely applicable
ART_0505,96,Kaplan,2010,Fishing catch shares in the face of global change: a framework for integrating cumulative impacts and single species management,Canadian Journal of Fisheries and Aquatic Sciences,NA,89,California Current Atlantis,End-to-End Ecosystem Model (Atlantis),US West Coast (California Current),20-year projections,NA,NA,NA,"Groundfish (English sole, arrowtooth flounder, yellowtail rockfish, bocaccio)","Ocean acidification (pH decline), fishing pressure (IFQ scenarios)",IFQ/catch share design; Climate-robust fisheries management; Cumulative impact assessment; MSE,NA,First integration of ocean acidification with fisheries catch share scenarios in Atlantis; Shows indirect food web effects (prey loss) dominate over direct fishing effects; Demonstrates need for climate-robust management designs,Acidification impacts on benthos uncertain; Limited empirical validation of pH effects; Single system application,4,NA,NA,Important early application of Atlantis for climate + fisheries integration; Framework remains highly relevant
